"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2017",3660.3,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2018",3663.9,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2019",3596.4,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","2017",4169,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","2017",4803.3,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","2018",4814.3,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","2019",4722.6,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","2017",3730,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","2018",3732,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","2017",3980.4,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","2018",3901.7,
"DEU","YRLIFELOST","TOT","100000HAB_0_69","A","2017",4001.1,
"DEU","YRLIFELOST","TOT","100000HAB_0_69","A","2018",4040.5,
"DEU","YRLIFELOST","TOT","100000HAB_0_69","A","2019",3917.4,
"GRC","YRLIFELOST","TOT","100000HAB_0_69","A","2017",4016,
"GRC","YRLIFELOST","TOT","100000HAB_0_69","A","2018",3958.4,
"HUN","YRLIFELOST","TOT","100000HAB_0_69","A","2017",6939.9,
"HUN","YRLIFELOST","TOT","100000HAB_0_69","A","2018",6814.6,
"HUN","YRLIFELOST","TOT","100000HAB_0_69","A","2019",6638.8,
"ITA","YRLIFELOST","TOT","100000HAB_0_69","A","2017",3133.4,
"JPN","YRLIFELOST","TOT","100000HAB_0_69","A","2017",2994.4,
"JPN","YRLIFELOST","TOT","100000HAB_0_69","A","2018",2968.1,
"LUX","YRLIFELOST","TOT","100000HAB_0_69","A","2017",3069.9,
"LUX","YRLIFELOST","TOT","100000HAB_0_69","A","2018",2839.8,
"NLD","YRLIFELOST","TOT","100000HAB_0_69","A","2017",3466.9,
"NLD","YRLIFELOST","TOT","100000HAB_0_69","A","2018",3404.9,
"POL","YRLIFELOST","TOT","100000HAB_0_69","A","2017",6406.4,
"POL","YRLIFELOST","TOT","100000HAB_0_69","A","2018",6491.7,
"PRT","YRLIFELOST","TOT","100000HAB_0_69","A","2017",4071.8,
"PRT","YRLIFELOST","TOT","100000HAB_0_69","A","2018",4085.8,
"ESP","YRLIFELOST","TOT","100000HAB_0_69","A","2017",3253.1,
"SWE","YRLIFELOST","TOT","100000HAB_0_69","A","2017",3209.4,
"SWE","YRLIFELOST","TOT","100000HAB_0_69","A","2018",3151.5,
"USA","YRLIFELOST","TOT","100000HAB_0_69","A","2017",6593.1,
"EST","YRLIFELOST","TOT","100000HAB_0_69","A","2017",6025.8,
"EST","YRLIFELOST","TOT","100000HAB_0_69","A","2018",5847.3,
"EST","YRLIFELOST","TOT","100000HAB_0_69","A","2019",5515.7,
"SVN","YRLIFELOST","TOT","100000HAB_0_69","A","2017",3919.9,
"SVN","YRLIFELOST","TOT","100000HAB_0_69","A","2018",3826.4,
"SVN","YRLIFELOST","TOT","100000HAB_0_69","A","2019",3830.1,
"LVA","YRLIFELOST","TOT","100000HAB_0_69","A","2017",8592.5,
"LVA","YRLIFELOST","TOT","100000HAB_0_69","A","2018",8452.2,
"LTU","YRLIFELOST","TOT","100000HAB_0_69","A","2017",8144.4,
"LTU","YRLIFELOST","TOT","100000HAB_0_69","A","2018",8023.8,
"LTU","YRLIFELOST","TOT","100000HAB_0_69","A","2019",7690.5,
